FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
GTEX-11TTK-0002-SM-5DWT4	GTEX-11TTK-0002-SM-5DWT4	-0.0217	-0.0024	0.0364	0.1252	0.0562	0.0284	-0.0318	-0.0327	0.0228	-0.0080	-0.0271	-0.0064	-0.0266	0.0157	0.0270	0.0221	0.0042	-0.0098	-0.0058	0.0124
GTEX-11TUW-0004-SM-5DWT8	GTEX-11TUW-0004-SM-5DWT8	-0.0208	0.0185	-0.0149	-0.0171	0.0205	0.0294	0.0028	0.0295	-0.0146	-0.0147	-0.0256	0.0211	0.0129	0.0233	-0.0382	0.0302	-0.0296	-0.0067	0.0202	-0.0727
GTEX-11UD1-0001-SM-5DWT6	GTEX-11UD1-0001-SM-5DWT6	0.1325	0.0212	-0.0014	-0.0585	-0.0458	-0.0393	0.0114	-0.0429	-0.0279	0.0741	0.1013	0.0897	0.0352	0.1172	-0.1586	0.0782	-0.1121	-0.1362	0.1027	-0.0401
GTEX-11UD2-0001-SM-5DWT3	GTEX-11UD2-0001-SM-5DWT3	-0.0200	0.0110	0.0201	0.0112	-0.0120	-0.0210	-0.0253	-0.0026	-0.0186	0.0116	0.0136	-0.0025	-0.0400	-0.0195	-0.0223	-0.0021	0.0129	-0.0088	0.0267	-0.0085
GTEX-11VI4-0003-SM-5DWTX	GTEX-11VI4-0003-SM-5DWTX	-0.0206	0.0100	-0.0108	-0.0115	0.0139	0.0454	0.0047	-0.0223	-0.0290	0.0053	0.0049	-0.0303	-0.0381	-0.0066	0.0624	0.0323	-0.0174	0.0384	0.0058	0.0121
GTEX-11WQC-0003-SM-5DWTG	GTEX-11WQC-0003-SM-5DWTG	0.1173	0.0101	-0.0079	0.0353	0.0446	-0.0434	-0.0564	0.1162	-0.0541	0.0227	-0.0188	0.1360	-0.0076	0.1918	-0.0682	0.1510	-0.0824	0.0625	0.2326	0.0940
GTEX-11WQK-0003-SM-5DWTN	GTEX-11WQK-0003-SM-5DWTN	-0.0200	0.0121	0.0050	-0.0270	0.0156	-0.0031	-0.0064	-0.0286	0.0064	0.0188	-0.0047	-0.0096	-0.0489	-0.0181	0.0198	-0.0033	-0.0138	-0.0151	0.0220	0.0277
GTEX-11XUK-0003-SM-5DWTF	GTEX-11XUK-0003-SM-5DWTF	-0.0217	0.0124	0.0462	-0.0363	-0.0211	-0.0195	-0.0233	-0.0062	0.0142	-0.0428	-0.0202	0.0316	-0.0617	-0.0377	0.0025	-0.0044	0.0040	-0.0287	0.0157	0.0265
GTEX-11ZTS-0001-SM-5DWTD	GTEX-11ZTS-0001-SM-5DWTD	-0.0212	0.0123	0.0225	-0.0598	-0.0003	0.0104	0.0176	0.0250	-0.0328	0.0283	-0.0281	-0.0510	-0.0153	-0.0333	-0.0215	-0.0373	-0.0180	0.0260	0.0000	0.0220
GTEX-11ZTT-0003-SM-5DWTB	GTEX-11ZTT-0003-SM-5DWTB	-0.0188	0.0097	0.0187	-0.0673	-0.0517	0.0161	0.0144	0.0093	-0.0082	0.0027	-0.0110	-0.0777	0.0033	0.0142	-0.0017	0.0395	-0.0114	-0.0121	0.0082	-0.0191
