FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
GTEX-R45C-0003-SM-2RXEW	GTEX-R45C-0003-SM-2RXEW	-0.0218	0.0067	0.0310	0.0594	0.0285	0.0096	-0.0082	0.0052	-0.0322	0.0144	0.0055	-0.0251	0.0056	-0.0341	0.0420	-0.0626	0.0036	0.0092	0.0063	0.0056
GTEX-R53T-0003-SM-2RXEX	GTEX-R53T-0003-SM-2RXEX	-0.0000	-0.0117	0.0315	0.1006	0.0464	0.0089	-0.0498	0.0245	-0.0588	-0.0362	-0.1115	0.0383	0.0406	0.0579	0.0444	-0.0451	-0.0641	-0.0368	-0.0143	-0.0053
GTEX-R55C-0003-SM-2RXF1	GTEX-R55C-0003-SM-2RXF1	-0.0221	0.0109	0.0189	0.0101	-0.0015	-0.0245	0.0362	0.0148	0.0461	0.0274	0.0130	-0.0037	-0.0131	0.0574	0.0145	0.0411	0.0356	-0.0191	-0.0110	-0.0174
GTEX-R55D-0926-SM-325AK	GTEX-R55D-0926-SM-325AK	0.0116	-0.0869	-0.0597	-0.1330	0.1348	0.1849	-0.0819	0.0004	-0.0476	-0.0230	0.0095	0.0006	-0.0530	-0.1526	-0.0588	0.0973	-0.0156	-0.0630	0.0114	0.1691
GTEX-R55E-0003-SM-2MRIC	GTEX-R55E-0003-SM-2MRIC	-0.0186	0.0077	-0.0220	0.0346	0.0019	-0.0303	0.0110	0.0043	-0.0326	0.0081	0.0172	0.0002	-0.0053	0.0029	-0.0259	0.0213	0.0176	0.0230	0.0051	0.0604
GTEX-R55F-0326-SM-3G3SE	GTEX-R55F-0326-SM-3G3SE	-0.0216	0.0150	0.0244	-0.0234	0.0005	-0.0030	-0.0044	0.0212	0.0061	-0.0355	0.0241	0.0039	-0.0185	-0.0360	0.0016	0.0081	0.0042	0.0206	0.0014	-0.0332
GTEX-R55G-0003-SM-2MRIE	GTEX-R55G-0003-SM-2MRIE	-0.0221	0.0107	0.0240	-0.0043	-0.0145	-0.0001	-0.0023	0.0419	-0.0232	-0.0147	0.0075	-0.0218	0.0113	0.0140	-0.0150	0.0260	-0.0018	0.0192	-0.0476	-0.0116
GTEX-REY6-0004-SM-2RXEZ	GTEX-REY6-0004-SM-2RXEZ	-0.0151	0.0031	-0.1838	0.0150	0.0226	0.0010	-0.0064	-0.0258	-0.0052	-0.0653	-0.0150	-0.0504	-0.0180	-0.0262	0.0162	-0.0113	0.0056	-0.0253	0.0193	0.0112
GTEX-RM2N-0002-SM-2RXEV	GTEX-RM2N-0002-SM-2RXEV	-0.0208	-0.0152	0.0539	0.0531	0.0029	0.0218	0.0339	-0.0351	-0.0176	-0.0032	0.0087	0.0193	0.0262	-0.0142	-0.0380	0.0044	0.0031	-0.0097	0.0130	-0.0311
GTEX-RN64-0004-SM-2MRIG	GTEX-RN64-0004-SM-2MRIG	-0.0207	-0.0109	0.0295	0.1228	0.0721	0.0281	0.0069	-0.0093	0.0183	0.0222	-0.0405	-0.0109	0.0052	-0.0218	0.0233	-0.0195	0.0282	0.0050	0.0244	-0.0288
GTEX-RNOR-0001-SM-2RXF2	GTEX-RNOR-0001-SM-2RXF2	-0.0213	-0.0074	0.0152	0.1239	0.0581	0.0131	-0.0027	-0.0365	0.0350	0.0350	-0.0183	-0.0382	0.0210	-0.0151	0.0311	0.0128	0.0480	-0.0291	-0.0156	-0.0167
GTEX-RTLS-0004-SM-2RXEU	GTEX-RTLS-0004-SM-2RXEU	-0.0203	0.0110	0.0182	0.0522	0.0014	0.0113	0.0345	-0.0255	0.0216	-0.0237	0.0030	-0.0192	0.0076	-0.0196	-0.0499	0.0229	-0.0009	-0.0625	0.0332	0.0640
GTEX-RU1J-0002-SM-2RXF5	GTEX-RU1J-0002-SM-2RXF5	0.1161	0.0183	0.0131	0.0188	-0.0510	0.1482	0.0667	-0.1349	-0.2632	-0.0716	0.0452	-0.0643	-0.0417	-0.2059	-0.0866	0.3697	-0.0195	0.0121	-0.1133	-0.0228
GTEX-RU72-0004-SM-2RXF6	GTEX-RU72-0004-SM-2RXF6	0.0238	-0.6030	0.0187	0.1012	-0.2139	-0.1600	0.0173	-0.0128	0.0151	-0.0293	0.0216	-0.0235	-0.0330	-0.0129	-0.0252	0.0323	-0.0162	0.0205	-0.0295	0.0162
GTEX-RUSQ-0001-SM-2RXER	GTEX-RUSQ-0001-SM-2RXER	-0.0214	0.0137	0.0223	-0.0224	-0.0364	-0.0031	0.0282	-0.0529	0.0039	-0.0196	-0.0165	-0.0222	0.0410	0.0286	0.0349	-0.0363	-0.0081	-0.0128	-0.0570	-0.0443
GTEX-RVPU-0001-SM-2RXES	GTEX-RVPU-0001-SM-2RXES	-0.0209	0.0027	0.0184	-0.0193	-0.0019	-0.0680	0.0149	0.0060	0.0450	-0.0480	-0.0441	0.0591	0.0091	-0.0102	0.0234	-0.0140	0.0305	-0.0175	-0.0592	-0.0406
GTEX-RVPV-0003-SM-2RXEQ	GTEX-RVPV-0003-SM-2RXEQ	-0.0211	-0.0294	0.0685	0.0898	0.0477	0.0145	-0.0074	-0.0121	-0.0122	0.0147	0.0419	0.0223	0.0055	0.0632	0.0046	0.0176	-0.0059	-0.0394	0.0348	-0.0238
GTEX-RWS6-0004-SM-2RXEY	GTEX-RWS6-0004-SM-2RXEY	-0.0206	0.0053	-0.0095	-0.0406	-0.0428	-0.0490	-0.0075	0.0349	0.0151	0.0315	0.0292	0.0138	-0.0039	0.0210	-0.0114	0.0440	-0.0091	0.0051	-0.0205	-0.0093
GTEX-RWSA-0003-SM-2VCTT	GTEX-RWSA-0003-SM-2VCTT	-0.0212	0.0019	0.0119	0.0595	-0.0124	0.0108	0.0288	-0.0265	-0.0221	0.0179	-0.0299	0.0087	0.0138	-0.0130	0.0290	-0.0110	-0.0148	-0.0003	0.0602	0.0519
GTEX-S3XE-0003-SM-2VCTV	GTEX-S3XE-0003-SM-2VCTV	-0.0234	0.0093	0.0373	-0.0192	-0.0424	-0.0195	0.0045	0.0102	-0.0008	-0.0381	-0.0080	0.0098	-0.0164	-0.0195	0.0193	0.0068	0.0415	-0.0309	-0.0336	-0.0107
GTEX-S4P3-0004-SM-2VCTW	GTEX-S4P3-0004-SM-2VCTW	-0.0221	0.0020	-0.0002	-0.0235	-0.0067	0.0140	0.0061	0.0225	-0.0058	-0.0070	-0.0036	-0.0135	-0.0253	0.0389	0.0200	0.0038	0.0048	-0.0327	-0.0416	0.0229
GTEX-S4Q7-0001-SM-2VCU1	GTEX-S4Q7-0001-SM-2VCU1	-0.0124	-0.0157	-0.2223	0.0842	-0.0459	-0.0136	0.0163	-0.0106	-0.0311	-0.0279	0.0148	-0.0566	0.0166	0.0159	0.0908	-0.0527	-0.0237	-0.0413	-0.0842	-0.0299
GTEX-S4UY-0003-SM-2VCTU	GTEX-S4UY-0003-SM-2VCTU	-0.0116	-0.0133	-0.1946	-0.0059	-0.0146	-0.0074	-0.0107	0.0060	0.0245	0.0314	0.0374	-0.0006	-0.0558	0.0524	-0.0104	-0.0255	0.0106	0.0125	0.0382	-0.0192
GTEX-S4Z8-0003-SM-2VCTZ	GTEX-S4Z8-0003-SM-2VCTZ	-0.0217	0.0056	0.0276	-0.0471	-0.0250	-0.0027	0.0422	0.0170	-0.0057	-0.0142	-0.0423	0.0090	0.0196	0.0271	-0.0308	-0.0147	0.0049	-0.0045	0.0269	0.0054
GTEX-S7PM-0926-SM-3PZ76	GTEX-S7PM-0926-SM-3PZ76	0.0071	-0.4243	0.1087	-0.2164	0.3129	0.2349	-0.0154	0.0447	0.0045	0.0462	0.0033	0.0266	0.0144	0.0205	0.0394	-0.0650	0.0028	-0.0656	0.0371	-0.0255
GTEX-S7SE-0004-SM-325A3	GTEX-S7SE-0004-SM-325A3	-0.0218	0.0150	0.0337	-0.0153	-0.0205	-0.0251	0.0025	0.0171	-0.0023	-0.0021	0.0155	-0.0082	-0.0012	0.0062	-0.0429	0.0222	0.0164	-0.0673	-0.0113	0.0158
GTEX-S7SF-0003-SM-2VCU4	GTEX-S7SF-0003-SM-2VCU4	-0.0147	0.0029	-0.0549	-0.0249	-0.0165	0.0116	0.0228	0.0333	-0.0146	-0.0397	0.0024	0.0101	-0.0046	0.0817	-0.0160	-0.0463	-0.0117	-0.0221	-0.0393	0.0104
GTEX-S32W-0001-SM-2VCTS	GTEX-S32W-0001-SM-2VCTS	-0.0192	0.0012	-0.0097	-0.0486	0.0165	0.0116	0.0143	0.0235	-0.0093	0.0165	0.0412	0.0298	-0.0480	0.0014	-0.0293	0.0157	0.0049	-0.0097	0.0273	-0.0190
GTEX-S33H-0004-SM-2VCTX	GTEX-S33H-0004-SM-2VCTX	-0.0178	-0.0011	-0.0517	0.0146	-0.0026	-0.0067	-0.0261	-0.0134	-0.0243	0.0525	0.0145	0.0190	0.0375	0.0019	0.0130	-0.0205	-0.0155	-0.0099	0.0123	0.0236
GTEX-S95S-0004-SM-325A4	GTEX-S95S-0004-SM-325A4	-0.0216	0.0051	0.0158	-0.0351	-0.0039	-0.0327	0.0114	0.0163	-0.0207	0.0181	0.0267	-0.0010	0.0036	0.0216	-0.0006	-0.0270	0.0030	0.0231	-0.0060	-0.0309
GTEX-S341-0001-SM-2VCTY	GTEX-S341-0001-SM-2VCTY	0.1372	0.0288	-0.0052	0.0316	0.0968	-0.0204	0.0029	-0.0844	-0.0285	-0.0467	0.0736	0.0088	0.0542	-0.0308	-0.1091	-0.0020	0.0007	0.0495	-0.1631	0.0855
GTEX-SE5C-0003-SM-325AC	GTEX-SE5C-0003-SM-325AC	-0.0216	-0.0016	0.0448	0.0057	0.0134	0.0046	-0.0165	-0.0032	0.0486	-0.0326	0.0041	0.0026	-0.0104	-0.0269	0.0047	-0.0043	0.0273	-0.0203	0.0281	-0.0335
GTEX-SIU7-0002-SM-2VCU5	GTEX-SIU7-0002-SM-2VCU5	-0.0217	0.0094	0.0074	-0.0249	-0.0247	0.0031	-0.0170	0.0077	0.0187	0.0236	0.0231	-0.0024	0.0153	-0.0154	0.0419	0.0246	-0.0342	-0.0153	-0.0177	0.0153
GTEX-SIU8-0002-SM-325AJ	GTEX-SIU8-0002-SM-325AJ	-0.0216	0.0055	0.0244	0.0625	0.0263	-0.0304	0.0387	-0.0228	-0.0031	-0.0305	-0.0264	-0.0193	-0.0272	0.0050	-0.0188	0.0110	0.0267	0.0294	0.0111	-0.0228
GTEX-SJXC-0003-SM-325AA	GTEX-SJXC-0003-SM-325AA	-0.0218	0.0103	0.0239	-0.0288	0.0155	-0.0094	0.0003	-0.0488	0.0114	-0.0039	-0.0010	-0.0057	0.0284	-0.0442	-0.0052	0.0242	0.0020	-0.0011	-0.0036	0.0049
GTEX-SN8G-0002-SM-325AH	GTEX-SN8G-0002-SM-325AH	-0.0206	0.0079	0.0322	-0.0520	-0.0298	-0.0212	0.0076	-0.0232	-0.0141	0.0385	0.0080	-0.0366	-0.0263	-0.0014	-0.0048	0.0294	-0.0459	0.0138	-0.0177	-0.0098
GTEX-SNMC-0004-SM-3259Z	GTEX-SNMC-0004-SM-3259Z	-0.0222	0.0040	-0.0093	-0.0504	-0.0094	-0.0095	-0.0158	0.0023	-0.0292	-0.0314	-0.0459	0.0190	0.0538	0.0185	-0.0198	0.0359	-0.0594	-0.0122	0.0091	-0.0054
GTEX-SNOS-0004-SM-325AE	GTEX-SNOS-0004-SM-325AE	0.0763	0.0139	-0.0055	0.0374	-0.0220	0.1001	-0.0876	0.1892	0.0161	-0.0594	0.2343	0.1576	-0.2405	-0.1267	0.1766	-0.0185	-0.0255	-0.0662	0.0374	0.1951
GTEX-SSA3-0001-SM-325A5	GTEX-SSA3-0001-SM-325A5	0.1148	-0.0087	0.0061	0.0053	-0.1103	0.1026	0.0140	0.0780	0.0789	0.0731	0.0675	0.1470	0.0132	-0.0761	-0.0368	-0.0698	-0.1088	0.0608	0.2618	-0.0934
GTEX-SUCS-0001-SM-325A7	GTEX-SUCS-0001-SM-325A7	-0.0232	0.0176	0.0251	-0.0132	-0.0186	-0.0178	-0.0056	-0.0053	-0.0005	-0.0276	0.0159	0.0196	0.0206	0.0056	0.0141	-0.0555	0.0179	0.0099	-0.0106	-0.0168
GTEX-T2IS-0002-SM-3259Y	GTEX-T2IS-0002-SM-3259Y	-0.0209	0.0127	0.0092	0.0397	0.0248	-0.0020	-0.0359	-0.0204	-0.0043	-0.0253	-0.0202	0.0203	0.0264	0.0001	-0.0039	-0.0599	0.0428	0.0637	-0.0116	0.0135
GTEX-T2YK-0003-SM-325AB	GTEX-T2YK-0003-SM-325AB	0.1145	0.0168	0.0144	0.0253	-0.0035	-0.1602	0.1081	0.1384	0.1205	-0.0671	-0.0250	-0.0763	0.1561	-0.1239	0.1736	0.1413	-0.0521	0.0076	0.0424	0.0365
GTEX-T5JC-0002-SM-325A9	GTEX-T5JC-0002-SM-325A9	-0.0226	0.0065	0.0124	0.0306	0.0117	0.0153	0.0015	0.0354	-0.0104	0.0154	0.0032	-0.0368	0.0056	-0.0130	0.0034	-0.0319	0.0056	-0.0104	-0.0020	0.0369
GTEX-T5JW-0002-SM-3G3SN	GTEX-T5JW-0002-SM-3G3SN	-0.0187	0.0027	0.0206	0.0209	-0.0254	0.0236	0.0076	0.0106	-0.0045	0.0332	0.0198	-0.0484	0.0010	-0.0133	-0.0270	-0.0114	-0.0359	0.0233	0.0294	-0.0184
GTEX-T6MN-0003-SM-325AF	GTEX-T6MN-0003-SM-325AF	-0.0221	0.0071	0.0181	0.0052	0.0071	0.0078	-0.0225	-0.0125	-0.0019	-0.0441	0.0059	0.0541	0.0247	0.0331	0.0099	-0.0148	-0.0028	-0.0427	-0.0518	-0.0076
GTEX-T6MO-0001-SM-325AL	GTEX-T6MO-0001-SM-325AL	-0.0218	0.0068	0.0245	0.0028	-0.0079	0.0017	-0.0590	0.0336	-0.0060	-0.0319	0.0065	-0.0208	0.0298	-0.0222	0.0421	-0.0378	0.0032	-0.0199	-0.0124	-0.0178
GTEX-T8EM-0001-SM-3G3SK	GTEX-T8EM-0001-SM-3G3SK	-0.0219	0.0073	0.0169	-0.0261	-0.0184	0.0131	0.0266	0.0372	0.0112	0.0190	0.0149	-0.0180	0.0273	-0.0034	-0.0473	0.0174	-0.0179	0.0559	0.0146	-0.0210
GTEX-TKQ1-0002-SM-3G3SW	GTEX-TKQ1-0002-SM-3G3SW	0.0710	0.0102	-0.0231	-0.0544	0.1613	-0.1515	0.0177	0.0200	-0.3049	0.0506	-0.0731	-0.3019	-0.2288	-0.0383	-0.0738	-0.1891	0.0418	0.0245	0.0378	-0.0072
GTEX-TKQ2-0002-SM-325AD	GTEX-TKQ2-0002-SM-325AD	-0.0228	0.0069	0.0123	-0.0094	0.0034	-0.0189	-0.0365	-0.0326	0.0035	0.0097	0.0641	-0.0006	-0.0354	-0.0198	-0.0180	-0.0072	-0.0056	-0.0280	0.0081	-0.0042
GTEX-TML8-0004-SM-325A2	GTEX-TML8-0004-SM-325A2	0.0794	-0.0187	-0.0333	-0.0865	0.0586	0.0323	-0.0276	0.1770	-0.0121	-0.0265	-0.1271	0.0467	0.0949	-0.0235	-0.0263	0.0625	0.1066	0.0242	-0.0588	0.1487
GTEX-TMMY-0003-SM-3G3SV	GTEX-TMMY-0003-SM-3G3SV	-0.0227	0.0111	0.0296	0.0379	0.0152	-0.0157	0.0023	0.0378	0.0043	0.0363	-0.0224	-0.0140	-0.0407	0.0133	0.0229	-0.0233	0.0578	-0.0255	-0.0251	-0.0502
GTEX-TMZS-0002-SM-3G3S5	GTEX-TMZS-0002-SM-3G3S5	-0.0202	0.0085	-0.0041	-0.0141	0.0006	0.0187	-0.0127	0.0223	-0.0111	-0.0026	-0.0202	0.0025	-0.0015	-0.0163	-0.0283	-0.0125	0.0031	0.0067	0.0252	0.0014
GTEX-TSE9-0002-SM-3G3SA	GTEX-TSE9-0002-SM-3G3SA	-0.0215	-0.0175	0.0239	0.1134	0.0980	0.0118	0.0333	-0.0040	-0.0083	-0.0073	0.0372	0.0377	0.0373	0.0027	-0.0387	0.0354	0.0259	-0.0035	0.0364	-0.0577
GTEX-U3ZH-0003-SM-3G3RZ	GTEX-U3ZH-0003-SM-3G3RZ	-0.0158	0.0136	0.0016	-0.0210	-0.0135	-0.0307	-0.0083	0.0092	-0.0136	0.0012	0.0109	0.0519	0.0019	-0.0383	-0.0121	0.0782	0.0162	0.0024	0.0074	-0.0191
GTEX-U3ZM-0004-SM-3G3SF	GTEX-U3ZM-0004-SM-3G3SF	-0.0207	-0.0030	0.0182	0.0019	-0.0018	-0.0069	0.0147	-0.0140	-0.0127	0.0202	-0.0176	-0.0206	-0.0054	-0.0142	-0.0382	0.0006	0.0375	0.0502	0.0343	-0.0062
GTEX-U3ZN-0001-SM-3G3SR	GTEX-U3ZN-0001-SM-3G3SR	-0.0212	0.0105	-0.0151	-0.0150	-0.0325	0.0179	0.0224	-0.0027	0.0426	-0.0146	0.0015	-0.0104	0.0189	-0.0478	0.0495	0.0253	-0.0091	-0.0135	0.0334	0.0088
GTEX-U4B1-0001-SM-3G3SS	GTEX-U4B1-0001-SM-3G3SS	-0.0222	0.0155	0.0113	-0.0050	-0.0015	-0.0044	0.0008	-0.0060	-0.0402	-0.0399	-0.0106	0.0026	0.0082	-0.0313	-0.0113	-0.0055	0.0324	-0.0399	-0.0105	-0.0038
GTEX-U8T8-2026-SM-3L286	GTEX-U8T8-2026-SM-3L286	-0.0198	0.0040	-0.0219	-0.0369	-0.0006	0.0213	-0.0365	0.0376	0.0001	0.0006	-0.0230	0.0170	-0.0740	0.0638	-0.0256	0.0011	-0.0223	0.0642	-0.0091	0.0104
GTEX-U8XE-0004-SM-3G3SU	GTEX-U8XE-0004-SM-3G3SU	-0.0216	0.0096	0.0316	0.0029	0.0227	0.0021	-0.0062	-0.0219	-0.0059	0.0329	0.0199	-0.0050	-0.0102	0.0302	-0.0423	0.0034	-0.0031	-0.0069	-0.0224	-0.0130
GTEX-U412-0001-SM-3G3S1	GTEX-U412-0001-SM-3G3S1	0.1254	0.0114	0.0050	0.0283	-0.0649	0.0048	0.0190	-0.0732	0.0032	-0.1079	-0.0365	-0.1357	0.0298	-0.1623	-0.0503	-0.0717	0.0633	-0.0178	0.0581	0.0277
GTEX-UJHI-0001-SM-3L287	GTEX-UJHI-0001-SM-3L287	0.1130	0.0036	0.0002	-0.0082	0.0651	-0.0371	-0.0947	0.1544	0.0135	0.2843	0.0931	-0.1275	0.0610	-0.0377	-0.2059	0.0041	-0.0913	0.0023	0.0113	0.0312
GTEX-UJMC-0002-SM-3G3ST	GTEX-UJMC-0002-SM-3G3ST	0.1030	0.0169	0.0270	0.0603	-0.1385	0.0763	-0.0252	-0.0426	-0.0067	-0.0287	-0.1093	-0.1676	-0.0619	-0.0637	0.2171	0.0335	0.0870	0.1084	0.0906	0.1296
GTEX-UPJH-0002-SM-3G3S2	GTEX-UPJH-0002-SM-3G3S2	-0.0207	0.0146	0.0277	0.0072	-0.0287	0.0266	0.0159	-0.0654	0.0233	-0.0357	0.0026	-0.0206	0.0048	0.0137	0.0182	-0.0082	-0.0811	-0.0046	-0.0190	0.0095
GTEX-UPK5-0002-SM-3G3SL	GTEX-UPK5-0002-SM-3G3SL	-0.0219	0.0005	0.0026	0.0539	0.0432	0.0149	-0.0151	-0.0030	-0.0152	0.0010	-0.0085	-0.0147	0.0118	-0.0009	0.0367	0.0405	0.0438	0.0235	-0.0156	0.0110
GTEX-UTHO-0003-SM-3G3SP	GTEX-UTHO-0003-SM-3G3SP	-0.0227	0.0140	0.0268	-0.0139	-0.0164	-0.0248	-0.0006	-0.0068	-0.0140	-0.0128	-0.0337	0.0443	-0.0085	-0.0123	0.0232	0.0013	-0.0357	-0.0073	-0.0017	0.0042
GTEX-V1D1-0001-SM-3G3SG	GTEX-V1D1-0001-SM-3G3SG	-0.0209	0.0028	0.0044	0.0236	-0.0245	-0.0163	0.0128	0.0172	-0.0083	-0.0377	0.0146	-0.0050	-0.0376	-0.0018	0.0267	-0.0101	-0.0378	-0.0415	0.0015	0.0286
GTEX-V955-0001-SM-3G3SX	GTEX-V955-0001-SM-3G3SX	-0.0234	0.0049	0.0387	-0.0337	-0.0205	-0.0246	0.0467	0.0202	-0.0285	0.0238	-0.0379	-0.0218	0.0004	0.0231	0.0077	-0.0258	0.0220	0.0272	-0.0221	0.0413
GTEX-VJWN-0003-SM-3G3S4	GTEX-VJWN-0003-SM-3G3S4	-0.0213	0.0118	0.0314	-0.0022	-0.0296	0.0205	0.0090	-0.0140	0.0110	0.0259	0.0103	0.0244	-0.0367	0.0457	0.0101	0.0019	-0.0009	0.0101	-0.0069	-0.0286
GTEX-VJYA-0003-SM-3G3S9	GTEX-VJYA-0003-SM-3G3S9	0.1238	0.0123	-0.0041	-0.0411	0.0571	-0.0901	-0.0221	-0.1597	0.0059	-0.0875	0.0810	0.2319	-0.0024	0.0486	0.0369	-0.1874	-0.0120	-0.0452	0.0048	0.0065
GTEX-VUSG-0002-SM-3G3SC	GTEX-VUSG-0002-SM-3G3SC	-0.0226	0.0183	0.0225	-0.0139	-0.0018	-0.0418	-0.0214	0.0380	-0.0076	0.0061	-0.0018	-0.0215	0.0238	0.0488	0.0152	0.0526	-0.0002	-0.0226	-0.0197	0.0535
GTEX-VUSH-0002-SM-3PZ7N	GTEX-VUSH-0002-SM-3PZ7N	0.1208	0.0083	0.0150	0.0118	0.0324	-0.0065	0.0837	-0.0262	-0.1086	-0.1016	0.0660	0.0129	0.2515	-0.0041	0.0742	-0.2028	-0.0819	-0.0332	-0.0408	0.0675
GTEX-W5WG-0003-SM-3G3SH	GTEX-W5WG-0003-SM-3G3SH	-0.0223	0.0042	0.0063	-0.0318	-0.0124	-0.0257	0.0128	-0.0162	-0.0056	0.0341	-0.0009	-0.0461	-0.0081	0.0012	0.0281	0.0031	-0.0546	0.0614	0.0026	0.0291
GTEX-W5X1-0002-SM-3G3S7	GTEX-W5X1-0002-SM-3G3S7	0.1279	0.0065	0.0181	0.0468	-0.0417	-0.0621	0.0512	0.0105	-0.1375	0.0494	0.0500	-0.0375	0.0622	0.0160	0.1370	0.0783	0.1705	0.0929	0.0525	-0.1138
GTEX-WCDI-0001-SM-3PZ7A	GTEX-WCDI-0001-SM-3PZ7A	0.1242	0.0121	0.0105	0.0416	-0.0810	0.0774	0.1626	0.1083	0.1201	-0.1477	-0.0884	-0.0462	-0.0683	0.0733	0.0424	-0.0415	0.0099	-0.0864	0.1523	0.0227
GTEX-WEY5-0003-SM-3G3SD	GTEX-WEY5-0003-SM-3G3SD	-0.0216	0.0042	0.0007	-0.0225	-0.0203	-0.0258	0.0088	0.0224	0.0062	0.0239	-0.0151	-0.0045	-0.0109	-0.0088	0.0212	0.0158	-0.0286	0.0106	-0.0232	-0.0546
GTEX-WFG7-0002-SM-3G3SI	GTEX-WFG7-0002-SM-3G3SI	-0.0169	-0.0052	-0.0827	0.0056	-0.0311	-0.0406	-0.0290	-0.0077	-0.0149	0.0160	0.0431	-0.0086	0.0491	-0.0385	0.0770	0.0307	0.0194	0.0111	-0.0041	0.0361
GTEX-WFG8-0004-SM-3G3SO	GTEX-WFG8-0004-SM-3G3SO	-0.0202	0.0136	0.0228	0.0013	-0.0191	-0.0285	-0.0165	-0.0088	-0.0232	0.0287	-0.0184	-0.0528	0.0080	0.0180	0.0101	0.0178	0.0318	0.0624	-0.0315	0.0051
GTEX-WFJO-0003-SM-3G3S3	GTEX-WFJO-0003-SM-3G3S3	-0.0209	0.0092	0.0158	-0.0586	-0.0064	0.0050	-0.0355	-0.0375	0.0145	0.0172	0.0032	-0.0138	0.0003	-0.0322	0.0189	-0.0057	-0.0332	-0.0448	0.0092	-0.0197
GTEX-WFON-0003-SM-3G3S8	GTEX-WFON-0003-SM-3G3S8	-0.0214	0.0126	-0.0005	-0.0078	-0.0341	-0.0030	-0.0214	-0.0015	0.0017	-0.0061	0.0071	-0.0186	-0.0269	-0.0228	0.0295	-0.0055	-0.0232	0.0290	-0.0029	-0.0373
GTEX-WH7G-0004-SM-3PZ86	GTEX-WH7G-0004-SM-3PZ86	-0.0212	0.0068	-0.0058	0.0242	-0.0389	-0.0075	0.0131	0.0036	-0.0297	-0.0014	0.0072	-0.0202	0.0051	-0.0106	0.0247	-0.0348	-0.0087	-0.0019	0.0487	-0.0058
GTEX-WHPG-0002-SM-3PZ77	GTEX-WHPG-0002-SM-3PZ77	-0.0081	-0.1134	0.0257	-0.0990	0.0357	0.0819	-0.0300	0.0741	-0.0233	-0.0251	0.0077	0.0146	0.0439	0.0218	0.0162	-0.0365	0.0033	-0.0270	-0.0001	-0.0597
GTEX-WHSB-0004-SM-3G3RY	GTEX-WHSB-0004-SM-3G3RY	-0.0211	0.0064	0.0151	-0.0163	-0.0383	-0.0200	-0.0071	-0.0376	0.0278	-0.0071	0.0069	-0.0008	0.0096	0.0265	0.0248	0.0266	-0.0355	0.0172	0.0033	-0.0462
GTEX-WHSE-1726-SM-3PZ7X	GTEX-WHSE-1726-SM-3PZ7X	-0.0196	0.0112	-0.0639	-0.0379	-0.0111	0.0316	0.0474	-0.0058	-0.0016	-0.0443	-0.0133	-0.0086	0.0034	-0.0073	-0.0101	0.0037	0.0136	-0.0372	-0.0050	-0.0332
GTEX-WHWD-0002-SM-3G3SY	GTEX-WHWD-0002-SM-3G3SY	-0.0208	0.0027	0.0049	-0.0428	-0.0370	-0.0057	-0.0149	0.0450	-0.0254	-0.0183	0.0255	0.0106	-0.0214	0.0689	0.0189	0.0473	0.0534	-0.0088	-0.0131	-0.0219
GTEX-WI4N-1326-SM-3PZ7L	GTEX-WI4N-1326-SM-3PZ7L	-0.0211	0.0123	0.0087	0.0061	-0.0076	-0.0084	0.0322	-0.0034	0.0178	0.0043	0.0039	0.0133	0.0169	-0.0118	0.0078	-0.0091	0.0002	-0.0064	-0.0003	0.0535
GTEX-WK11-0002-SM-3PZ7M	GTEX-WK11-0002-SM-3PZ7M	-0.0205	-0.0041	0.0048	-0.0185	0.0252	-0.0115	0.0220	-0.0130	-0.0339	0.0146	0.0031	-0.0201	0.0033	-0.0018	0.0089	-0.0404	0.0023	0.0892	0.0056	0.0494
GTEX-WL46-0002-SM-3PZ7T	GTEX-WL46-0002-SM-3PZ7T	-0.0209	0.0021	0.0161	0.0500	0.0522	-0.0308	-0.0001	0.0074	0.0032	0.0213	0.0053	0.0237	0.0000	-0.0170	0.0074	-0.0422	0.0071	-0.0342	-0.0044	0.0021
GTEX-WOFL-0003-SM-3PZ7H	GTEX-WOFL-0003-SM-3PZ7H	-0.0227	0.0162	0.0355	-0.0243	-0.0226	-0.0454	-0.0107	0.0178	-0.0147	-0.0120	-0.0005	0.0232	-0.0503	0.0061	0.0197	-0.0060	0.0466	0.0117	-0.0419	0.0085
GTEX-WOFM-0003-SM-3PZ7W	GTEX-WOFM-0003-SM-3PZ7W	-0.0220	0.0059	0.0252	-0.0586	-0.0165	-0.0090	-0.0015	0.0035	0.0116	0.0267	0.0030	-0.0435	0.0555	-0.0555	-0.0288	-0.0116	-0.0256	0.0537	0.0142	0.0420
GTEX-WQUQ-0002-SM-3PZ78	GTEX-WQUQ-0002-SM-3PZ78	-0.0226	-0.0042	0.0457	0.1146	0.0436	-0.0019	0.0585	-0.0122	0.0215	-0.0296	0.0033	0.0160	-0.0051	0.0176	0.0265	0.0234	0.0088	-0.0389	0.0057	-0.0055
GTEX-WRHK-0003-SM-3PZ7S	GTEX-WRHK-0003-SM-3PZ7S	-0.0207	0.0011	0.0084	-0.0187	-0.0239	0.0433	0.0405	0.0023	0.0446	-0.0161	-0.0461	-0.0568	0.0450	-0.0199	-0.0636	-0.0381	0.0169	0.0101	-0.0448	0.0249
