"C1"	"C2"	"C3"
"GTEX.X62O"	-0.021	-3e-04	0.0345
"GTEX.X261"	-0.0209	0.0012	0.0047
"GTEX.X585"	0.1336	0.0149	-0.0084
"GTEX.XAJ8"	-0.0221	0.0083	0.0239
"GTEX.XBED"	-0.0207	0.0111	0.002
"GTEX.11DXW"	-0.0215	0.011	-0.0097
"GTEX.11DXX"	-0.0218	0.008	0.015
"GTEX.11DXY"	-0.0156	-0.0021	-0.1011
"GTEX.11DXZ"	0.111	0.0047	-0.0062
"GTEX.11DYG"	0.1161	0.0028	-0.0039
"GTEX.11DZ1"	-0.0214	-0.0055	0.018
"GTEX.11EI6"	-0.0218	0.0054	0.0305
"GTEX.11EM3"	-0.0206	0.0072	0.0034
"GTEX.11EMC"	-0.0197	-0.006	-0.0044
"GTEX.11EQ8"	-0.021	-0.009	0.0214
"GTEX.11EQ9"	-0.0209	0.002	-0.0158
"GTEX.11GS4"	-0.0144	-0.0029	-0.1688
"GTEX.11GSO"	-0.0215	0.0052	-0.0053
"GTEX.11GSP"	-0.0218	0.0025	-0.012
"GTEX.11I78"	-0.0209	0.0121	-0.0064
"GTEX.11LCK"	-0.0219	0.0119	0.0102
"GTEX.11NUK"	-0.0206	-0.0021	0.0084
"GTEX.11NV4"	0.1172	0.0134	-0.0069
"GTEX.11ONC"	-0.0208	0.005	0.019
"GTEX.11P7K"	0.1244	0.0252	0.0143
"GTEX.11P81"	-0.0222	0.012	0.002
"GTEX.11P82"	-0.0203	0.0065	0.0049
"GTEX.11PRG"	0.1369	0.0079	-0.0039
"GTEX.11TT1"	0.0243	0.0128	0.0141
"GTEX.11TTK"	-0.0217	-0.0024	0.0364
"GTEX.11TUW"	-0.0208	0.0185	-0.0149
"GTEX.11UD1"	0.1325	0.0212	-0.0014
"GTEX.11UD2"	-0.02	0.011	0.0201
"GTEX.11VI4"	-0.0206	0.01	-0.0108
"GTEX.11WQC"	0.1173	0.0101	-0.0079
"GTEX.11WQK"	-0.02	0.0121	0.005
"GTEX.11XUK"	-0.0217	0.0124	0.0462
"GTEX.11ZTS"	-0.0212	0.0123	0.0225
"GTEX.11ZTT"	-0.0188	0.0097	0.0187
"GTEX.11ZU8"	-0.0216	-0.0063	0.0565
"GTEX.11ZUS"	-0.0207	0.0032	-0.0309
"GTEX.11ZVC"	-0.0203	0.003	0.0128
