Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
ENSG00000129988.5-ENSG00000124205.14	ENSG00000129988.5	ENSG00000124205.14	0.236176002606	0.236176002606	enet	1	1
ENSG00000129988.5-ENSG00000145569.5	ENSG00000129988.5	ENSG00000145569.5	0.235793811807	0.235793811807	enet	1	1
ENSG00000137440.4-ENSG00000181634.7	ENSG00000137440.4	ENSG00000181634.7	0.232996962376	0.232996962376	enet	1	1
ENSG00000274267.1-ENSG00000157514.15	ENSG00000274267.1	ENSG00000157514.15	0.232667891065	0.232667891065	enet	1	1
ENSG00000129988.5-ENSG00000167183.2	ENSG00000129988.5	ENSG00000167183.2	0.232118849795	0.232118849795	enet	1	1
ENSG00000187288.9-ENSG00000157514.15	ENSG00000187288.9	ENSG00000157514.15	0.231046340317	0.231046340317	enet	1	1
ENSG00000243709.1-ENSG00000166592.10	ENSG00000243709.1	ENSG00000166592.10	-0.23092626148	0.23092626148	enet	1	1
ENSG00000170477.11-ENSG00000158445.7	ENSG00000170477.11	ENSG00000158445.7	0.23080205224	0.23080205224	enet	1	1
ENSG00000188293.5-ENSG00000204344.13	ENSG00000188293.5	ENSG00000204344.13	-0.230302346638	0.230302346638	enet	1	1
ENSG00000170477.11-ENSG00000129757.11	ENSG00000170477.11	ENSG00000129757.11	0.23028386523	0.23028386523	enet	1	1
ENSG00000086548.8-ENSG00000054179.10	ENSG00000086548.8	ENSG00000054179.10	0.228583283961	0.228583283961	enet	1	1
ENSG00000129988.5-ENSG00000163993.6	ENSG00000129988.5	ENSG00000163993.6	0.227689336407	0.227689336407	enet	1	1
ENSG00000181649.5-ENSG00000185338.4	ENSG00000181649.5	ENSG00000185338.4	0.226130322168	0.226130322168	enet	1	1
ENSG00000205177.6-ENSG00000274267.1	ENSG00000205177.6	ENSG00000274267.1	-0.225494569346	0.225494569346	enet	1	1
ENSG00000129988.5-ENSG00000139132.13	ENSG00000129988.5	ENSG00000139132.13	0.225151891548	0.225151891548	enet	1	1
ENSG00000187288.9-ENSG00000179094.12	ENSG00000187288.9	ENSG00000179094.12	0.224769722769	0.224769722769	enet	1	1
ENSG00000274267.1-ENSG00000167772.10	ENSG00000274267.1	ENSG00000167772.10	0.224769209452	0.224769209452	enet	1	1
ENSG00000081041.8-ENSG00000124575.6	ENSG00000081041.8	ENSG00000124575.6	-0.223875248787	0.223875248787	enet	1	1
ENSG00000007255.9-ENSG00000146678.8	ENSG00000007255.9	ENSG00000146678.8	-0.222786670001	0.222786670001	enet	1	1
ENSG00000205177.6-ENSG00000115112.7	ENSG00000205177.6	ENSG00000115112.7	0.222277230474	0.222277230474	enet	1	1
ENSG00000129988.5-ENSG00000187193.8	ENSG00000129988.5	ENSG00000187193.8	0.22153776971	0.22153776971	enet	1	1
ENSG00000160781.14-ENSG00000095752.5	ENSG00000160781.14	ENSG00000095752.5	0.221130202461	0.221130202461	enet	1	1
ENSG00000204531.14-ENSG00000113916.16	ENSG00000204531.14	ENSG00000113916.16	0.220966744952	0.220966744952	enet	1	1
ENSG00000124575.6-ENSG00000106541.10	ENSG00000124575.6	ENSG00000106541.10	0.220803189568	0.220803189568	enet	1	1
