Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
ENSG00000151287.15-ENSG00000279483.1	ENSG00000151287.15	ENSG00000279483.1	-0.869431064775	0.869431064775	lasso	1	1
ENSG00000181649.5-ENSG00000187288.9	ENSG00000181649.5	ENSG00000187288.9	0.866883635378	0.866883635378	lasso	1	1
ENSG00000179094.12-ENSG00000115112.7	ENSG00000179094.12	ENSG00000115112.7	0.864302056327	0.864302056327	lasso	1	1
ENSG00000183671.11-ENSG00000166589.11	ENSG00000183671.11	ENSG00000166589.11	0.861755468223	0.861755468223	lasso	1	1
ENSG00000177943.12-ENSG00000128016.5	ENSG00000177943.12	ENSG00000128016.5	-0.860211955278	0.860211955278	lasso	1	1
ENSG00000183671.11-ENSG00000129757.11	ENSG00000183671.11	ENSG00000129757.11	0.857761735382	0.857761735382	lasso	1	1
ENSG00000123384.12-ENSG00000124205.14	ENSG00000123384.12	ENSG00000124205.14	0.856812253989	0.856812253989	lasso	1	1
ENSG00000197405.6-ENSG00000145569.5	ENSG00000197405.6	ENSG00000145569.5	0.855806409031	0.855806409031	lasso	1	1
ENSG00000160781.14-ENSG00000163283.6	ENSG00000160781.14	ENSG00000163283.6	-0.84563433138	0.84563433138	lasso	1	1
ENSG00000129988.5-ENSG00000187193.8	ENSG00000129988.5	ENSG00000187193.8	0.84109809485	0.84109809485	lasso	1	1
ENSG00000067798.12-ENSG00000124107.5	ENSG00000067798.12	ENSG00000124107.5	0.840259885824	0.840259885824	lasso	1	1
ENSG00000164743.4-ENSG00000115112.7	ENSG00000164743.4	ENSG00000115112.7	-0.837703895996	0.837703895996	lasso	1	1
ENSG00000129988.5-ENSG00000163993.6	ENSG00000129988.5	ENSG00000163993.6	0.834511921385	0.834511921385	lasso	1	1
ENSG00000067798.12-ENSG00000163283.6	ENSG00000067798.12	ENSG00000163283.6	0.832892402892	0.832892402892	lasso	1	1
ENSG00000067798.12-ENSG00000211448.10	ENSG00000067798.12	ENSG00000211448.10	-0.832242021373	0.832242021373	lasso	1	1
ENSG00000077150.16-ENSG00000243709.1	ENSG00000077150.16	ENSG00000243709.1	0.829254228699	0.829254228699	lasso	1	1
ENSG00000170477.11-ENSG00000243709.1	ENSG00000170477.11	ENSG00000243709.1	0.828605165171	0.828605165171	lasso	1	1
ENSG00000131018.21-ENSG00000187288.9	ENSG00000131018.21	ENSG00000187288.9	0.826518158426	0.826518158426	lasso	1	1
ENSG00000186603.5-ENSG00000163283.6	ENSG00000186603.5	ENSG00000163283.6	-0.82513476416	0.82513476416	lasso	1	1
ENSG00000183671.11-ENSG00000179046.7	ENSG00000183671.11	ENSG00000179046.7	-0.822239814555	0.822239814555	lasso	1	1
ENSG00000181649.5-ENSG00000067798.12	ENSG00000181649.5	ENSG00000067798.12	-0.811719306245	0.811719306245	lasso	1	1
