Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2
ENSG00000167772.10-ENSG00000187288.9	ENSG00000167772.10	ENSG00000187288.9	lasso	2.0				0.519136824521	0.519136824521	2.0
ENSG00000167772.10-ENSG00000152779.13	ENSG00000167772.10	ENSG00000152779.13	lasso	2.0				0.5160346466	0.5160346466	2.0
ENSG00000124575.6-ENSG00000135094.9	ENSG00000124575.6	ENSG00000135094.9	lasso	2.0				-0.513225002889	0.513225002889	2.0
ENSG00000167772.10-ENSG00000158445.7	ENSG00000167772.10	ENSG00000158445.7	lasso	2.0				0.505517487798	0.505517487798	2.0
ENSG00000167772.10-ENSG00000135094.9	ENSG00000167772.10	ENSG00000135094.9	lasso	2.0				0.47689216767	0.47689216767	2.0
ENSG00000007255.9-ENSG00000129757.11	ENSG00000007255.9	ENSG00000129757.11	lasso	2.0				-0.473641942081	0.473641942081	2.0
ENSG00000204616.9-ENSG00000163993.6	ENSG00000204616.9	ENSG00000163993.6	lasso	2.0				0.473225437179	0.473225437179	2.0
ENSG00000156427.7-ENSG00000163283.6	ENSG00000156427.7	ENSG00000163283.6	lasso	2.0				-0.462431606927	0.462431606927	2.0
ENSG00000167772.10-ENSG00000143845.13	ENSG00000167772.10	ENSG00000143845.13	lasso	2.0				0.456126962723	0.456126962723	2.0
ENSG00000167772.10-ENSG00000151726.12	ENSG00000167772.10	ENSG00000151726.12	lasso	2.0				0.455042365845	0.455042365845	2.0
ENSG00000178150.7-ENSG00000166589.11	ENSG00000178150.7	ENSG00000166589.11	lasso	2.0				-0.454557374793	0.454557374793	2.0
ENSG00000102890.13-ENSG00000152086.8	ENSG00000102890.13	ENSG00000152086.8	lasso	2.0				-0.449659901579	0.449659901579	2.0
ENSG00000187566.4-ENSG00000166592.10	ENSG00000187566.4	ENSG00000166592.10	lasso	2.0				0.449603466065	0.449603466065	2.0
ENSG00000178150.7-ENSG00000141750.6	ENSG00000178150.7	ENSG00000141750.6	lasso	2.0				-0.437814623759	0.437814623759	2.0
ENSG00000167772.10-ENSG00000096060.13	ENSG00000167772.10	ENSG00000096060.13	lasso	2.0				0.435073685016	0.435073685016	2.0
ENSG00000128965.10-ENSG00000205420.9	ENSG00000128965.10	ENSG00000205420.9	lasso	2.0				0.432670594744	0.432670594744	2.0
ENSG00000204616.9-ENSG00000187288.9	ENSG00000204616.9	ENSG00000187288.9	lasso	2.0				0.430905971036	0.430905971036	2.0
ENSG00000146250.6-ENSG00000158445.7	ENSG00000146250.6	ENSG00000158445.7	lasso	2.0				0.428930331568	0.428930331568	2.0
ENSG00000167772.10-ENSG00000187193.8	ENSG00000167772.10	ENSG00000187193.8	lasso	2.0				0.427868240648	0.427868240648	2.0
ENSG00000102890.13-ENSG00000152779.13	ENSG00000102890.13	ENSG00000152779.13	lasso	2.0				-0.426281131559	0.426281131559	2.0
ENSG00000197696.8-ENSG00000140379.7	ENSG00000197696.8	ENSG00000140379.7	lasso	2.0				-0.423701049736	0.423701049736	2.0
ENSG00000167772.10-ENSG00000163993.6	ENSG00000167772.10	ENSG00000163993.6	lasso	2.0				0.419332169603	0.419332169603	2.0
ENSG00000204616.9-ENSG00000163283.6	ENSG00000204616.9	ENSG00000163283.6	lasso	2.0				0.417196298409	0.417196298409	2.0
ENSG00000167772.10-ENSG00000181634.7	ENSG00000167772.10	ENSG00000181634.7	lasso	2.0				-0.409250480492	0.409250480492	2.0
ENSG00000007255.9-ENSG00000166589.11	ENSG00000007255.9	ENSG00000166589.11	lasso	2.0				-0.402504513399	0.402504513399	2.0
ENSG00000156427.7-ENSG00000129757.11	ENSG00000156427.7	ENSG00000129757.11	lasso	2.0				-0.402219364166	0.402219364166	2.0
ENSG00000167772.10-ENSG00000166589.11	ENSG00000167772.10	ENSG00000166589.11	lasso	2.0				0.400363999491	0.400363999491	2.0
ENSG00000147003.5-ENSG00000127129.8	ENSG00000147003.5	ENSG00000127129.8	lasso	2.0				0.398929030998	0.398929030998	2.0
ENSG00000178150.7-ENSG00000125148.6	ENSG00000178150.7	ENSG00000125148.6	lasso	2.0				-0.39558314464	0.39558314464	2.0
ENSG00000204616.9-ENSG00000205420.9	ENSG00000204616.9	ENSG00000205420.9	lasso	2.0				0.389482836784	0.389482836784	2.0
ENSG00000178150.7-ENSG00000039987.5	ENSG00000178150.7	ENSG00000039987.5	lasso	2.0				-0.385886384766	0.385886384766	2.0
